company_priority,company_code,company_name,industry,business_priority,business_id,business_name,status,split_reason,source_requirements,business_bmc_md_path,image_path,reviewer_notes,updated_at,draft_quality,same_template_group_size,same_template_businesses,research_next_step
1,8306,三菱UFJフィナンシャル・グループ,銀行業,1,8306-01-business,法人・リテール,source_review,国内個人・中堅中小企業・富裕層向けの預金、決済、融資、資産運用を一体で扱うため、法人/個人接点を事業単位で深掘りする,https://www.mufg.jp/ir/fs/2025/index.html | https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2603_ja.pdf | https://www.mufg.jp/ir/presentation/2025/index.html | https://www.mufg.jp/dam/ir/presentation/2025/pdf/slides2603_ja.pdf | https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2506_en.pdf,business_bmcs/8306/8306-01-business.md,images/business_bmcs/8306/8306-01-business.png,公式資料に基づく事業別初期案。未確認のKPI・主要商品別収益は追加レビュー。,2026-06-11,source_based_draft,1,法人・リテール,公式資料のセグメント別KPI、主要商品別収益、顧客別収益で記述を追加検証する
1,8306,三菱UFJフィナンシャル・グループ,銀行業,2,8306-02-business,受託財産,source_review,投資家・運用会社・年金基金向けの資産運用、資産管理、年金サービスは銀行貸出とは収益構造が異なるため独立して深掘りする,https://www.mufg.jp/ir/fs/2025/index.html | https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2603_ja.pdf | https://www.mufg.jp/ir/presentation/2025/index.html | https://www.mufg.jp/dam/ir/presentation/2025/pdf/slides2603_ja.pdf | https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2506_en.pdf,business_bmcs/8306/8306-02-business.md,images/business_bmcs/8306/8306-02-business.png,公式資料に基づく事業別初期案。未確認のKPI・主要商品別収益は追加レビュー。,2026-06-11,source_based_draft,1,受託財産,公式資料のセグメント別KPI、主要商品別収益、顧客別収益で記述を追加検証する
1,8306,三菱UFJフィナンシャル・グループ,銀行業,3,8306-03-business,市場,source_review,顧客向け市場商品とグループALM・自己ポートフォリオ管理は預貸や資産管理と異なるため、市場事業として深掘りする,https://www.mufg.jp/ir/fs/2025/index.html | https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2603_ja.pdf | https://www.mufg.jp/ir/presentation/2025/index.html | https://www.mufg.jp/dam/ir/presentation/2025/pdf/slides2603_ja.pdf | https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2506_en.pdf,business_bmcs/8306/8306-03-business.md,images/business_bmcs/8306/8306-03-business.png,公式資料に基づく事業別初期案。未確認のKPI・主要商品別収益は追加レビュー。,2026-06-11,source_based_draft,1,市場,公式資料のセグメント別KPI、主要商品別収益、顧客別収益で記述を追加検証する
1,8306,三菱UFJフィナンシャル・グループ,銀行業,4,8306-04-cib,グローバルCIB,source_review,海外大企業・金融機関向けの貸出、資本市場、M&A、プロジェクトファイナンスは大型案件型のため独立して深掘りする,https://www.mufg.jp/ir/fs/2025/index.html | https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2603_ja.pdf | https://www.mufg.jp/ir/presentation/2025/index.html | https://www.mufg.jp/dam/ir/presentation/2025/pdf/slides2603_ja.pdf | https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2506_en.pdf,business_bmcs/8306/8306-04-cib.md,images/business_bmcs/8306/8306-04-cib.png,公式資料に基づく事業別初期案。未確認のKPI・主要商品別収益は追加レビュー。,2026-06-11,source_based_draft,1,グローバルCIB,公式資料のセグメント別KPI、主要商品別収益、顧客別収益で記述を追加検証する
1,8306,三菱UFJフィナンシャル・グループ,銀行業,5,8306-05-business,グローバルコマーシャルバンキング,source_review,ASEAN等の出資先商業銀行を通じた個人・SME金融は、CIBや国内銀行とは顧客接点・収益構造が異なるため独立して深掘りする,https://www.mufg.jp/ir/fs/2025/index.html | https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2603_ja.pdf | https://www.mufg.jp/ir/presentation/2025/index.html | https://www.mufg.jp/dam/ir/presentation/2025/pdf/slides2603_ja.pdf | https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2506_en.pdf,business_bmcs/8306/8306-05-business.md,images/business_bmcs/8306/8306-05-business.png,公式資料に基づく事業別初期案。未確認のKPI・主要商品別収益は追加レビュー。,2026-06-11,source_based_draft,1,グローバルコマーシャルバンキング,公式資料のセグメント別KPI、主要商品別収益、顧客別収益で記述を追加検証する
2,7203,トヨタ自動車,輸送用機器,1,7203-01-business,自動車,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://global.toyota/jp/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/7203/7203-01-business.md,images/business_bmcs/7203/7203-01-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が2件あります: 自動車、その他。公式資料で事業別に再調査してください。,2026-06-11,template_only,2,自動車、その他,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
2,7203,トヨタ自動車,輸送用機器,2,7203-02-business,金融,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://global.toyota/jp/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/7203/7203-02-business.md,images/business_bmcs/7203/7203-02-business.png,テンプレート初期案。公式資料で事業境界、KPI、根拠URLを確認し、事業固有の記述へ更新してください。,2026-06-11,template_only,1,金融,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
2,7203,トヨタ自動車,輸送用機器,3,7203-03-business,その他,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://global.toyota/jp/ir/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/7203/7203-03-business.md,images/business_bmcs/7203/7203-03-business.png,テンプレート初期案。同一企業内で同じ原型BMCを共有する候補が2件あります: 自動車、その他。公式資料で事業別に再調査してください。,2026-06-11,template_only,2,自動車、その他,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
3,6501,日立製作所,電気機器,1,6501-01-business,デジタルシステム&サービス,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.hitachi.co.jp/IR/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/6501/6501-01-business.md,images/business_bmcs/6501/6501-01-business.png,テンプレート初期案。公式資料で事業境界、KPI、根拠URLを確認し、事業固有の記述へ更新してください。,2026-06-11,template_only,1,デジタルシステム&サービス,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
3,6501,日立製作所,電気機器,2,6501-02-business,グリーンエナジー&モビリティ,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.hitachi.co.jp/IR/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/6501/6501-02-business.md,images/business_bmcs/6501/6501-02-business.png,テンプレート初期案。公式資料で事業境界、KPI、根拠URLを確認し、事業固有の記述へ更新してください。,2026-06-11,template_only,1,グリーンエナジー&モビリティ,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
3,6501,日立製作所,電気機器,3,6501-03-business,コネクティブインダストリーズ,template_only,公式セグメントまたは主要事業を起点にした深掘り候補,https://www.hitachi.co.jp/IR/ | 有価証券報告書 | 決算説明資料 | 統合報告書または中期経営計画 | 事業別ページまたは製品/サービスページ,business_bmcs/6501/6501-03-business.md,images/business_bmcs/6501/6501-03-business.png,テンプレート初期案。公式資料で事業境界、KPI、根拠URLを確認し、事業固有の記述へ更新してください。,2026-06-11,template_only,1,コネクティブインダストリーズ,公式資料で事業境界、主要顧客、価値提案、収益源を確認し、このテンプレート初期案を事業固有のBMCへ更新する
