priority,code,company_name,industry,status,source_urls,bmc_md_path,image_path,reviewer_notes,updated_at,index_weight,official_ir_url,prompt_path
1,8306,三菱UFJフィナンシャル・グループ,銀行業,bmc_draft_needs_source_review,https://www.mufg.jp/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/01_8306_mufg.md,images/01_8306_mufg_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,3.3407%,https://www.mufg.jp/ir/,prompts/chatgpt_image/01_8306_mufg.txt
2,7203,トヨタ自動車,輸送用機器,bmc_draft_needs_source_review,https://global.toyota/jp/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/02_7203_toyota.md,images/02_7203_toyota_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,3.0673%,https://global.toyota/jp/ir/,prompts/chatgpt_image/02_7203_toyota.txt
3,6501,日立製作所,電気機器,bmc_draft_needs_source_review,https://www.hitachi.co.jp/IR/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/03_6501_hitachi.md,images/03_6501_hitachi_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,2.3707%,https://www.hitachi.co.jp/IR/,prompts/chatgpt_image/03_6501_hitachi.txt
4,8316,三井住友フィナンシャルグループ,銀行業,bmc_draft_needs_source_review,https://www.smfg.co.jp/investor/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/04_8316_smfg.md,images/04_8316_smfg_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,2.2588%,https://www.smfg.co.jp/investor/,prompts/chatgpt_image/04_8316_smfg.txt
5,6758,ソニーグループ,電気機器,bmc_draft_needs_source_review,https://www.sony.com/ja/SonyInfo/IR/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/05_6758_sony.md,images/05_6758_sony_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,2.0497%,https://www.sony.com/ja/SonyInfo/IR/,prompts/chatgpt_image/05_6758_sony.txt
6,8058,三菱商事,卸売業,bmc_draft_needs_source_review,https://www.mitsubishicorp.com/jp/ja/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/06_8058_mitsubishi-corp.md,images/06_8058_mitsubishi-corp_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,2.0090%,https://www.mitsubishicorp.com/jp/ja/ir/,prompts/chatgpt_image/06_8058_mitsubishi-corp.txt
7,9984,ソフトバンクグループ,情報・通信業,bmc_draft_needs_source_review,https://group.softbank/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/07_9984_softbank-group.md,images/07_9984_softbank-group_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,1.9150%,https://group.softbank/ir/,prompts/chatgpt_image/07_9984_softbank-group.txt
8,8035,東京エレクトロン,電気機器,bmc_draft_needs_source_review,https://www.tel.co.jp/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/08_8035_tokyo-electron.md,images/08_8035_tokyo-electron_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,1.7932%,https://www.tel.co.jp/ir/,prompts/chatgpt_image/08_8035_tokyo-electron.txt
9,8411,みずほフィナンシャルグループ,銀行業,bmc_draft_needs_source_review,https://www.mizuho-fg.co.jp/investors/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/09_8411_mizuho.md,images/09_8411_mizuho_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,1.7919%,https://www.mizuho-fg.co.jp/investors/,prompts/chatgpt_image/09_8411_mizuho.txt
10,8031,三井物産,卸売業,bmc_draft_needs_source_review,https://www.mitsui.com/jp/ja/ir/ | https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv | https://www.jpx.co.jp/markets/statistics-equities/misc/01.html | https://disclosure2dl.edinet-fsa.go.jp/guide/static/disclosure/download/ESE140206.pdf | https://www.jpx.co.jp/listing/disclosure/01.html,companies/10_8031_mitsui.md,images/10_8031_mitsui_bmc.png,初期ドラフト。公開前に公式資料で要レビュー。,2026-06-10,1.6878%,https://www.mitsui.com/jp/ja/ir/,prompts/chatgpt_image/10_8031_mitsui.txt
