priority,code,company_name,industry,index_weight,jpx_source
1,8306,三菱UFJフィナンシャル・グループ,銀行業,3.3407%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
2,7203,トヨタ自動車,輸送用機器,3.0673%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
3,6501,日立製作所,電気機器,2.3707%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
4,8316,三井住友フィナンシャルグループ,銀行業,2.2588%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
5,6758,ソニーグループ,電気機器,2.0497%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
6,8058,三菱商事,卸売業,2.0090%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
7,9984,ソフトバンクグループ,情報・通信業,1.9150%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
8,8035,東京エレクトロン,電気機器,1.7932%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
9,8411,みずほフィナンシャルグループ,銀行業,1.7919%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
10,8031,三井物産,卸売業,1.6878%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
11,7011,三菱重工業,機械,1.6670%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
12,6857,アドバンテスト,電気機器,1.6242%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
13,8766,東京海上ホールディングス,保険業,1.3919%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
14,6861,キーエンス,電気機器,1.3615%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
15,6503,三菱電機,電気機器,1.3158%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
16,8001,伊藤忠商事,卸売業,1.3154%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
17,4063,信越化学工業,化学,1.2320%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
18,7741,HOYA,精密機器,1.0544%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
19,9983,ファーストリテイリング,小売業,1.0029%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
20,6098,リクルートホールディングス,サービス業,0.9978%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
21,7974,任天堂,その他製品,0.9182%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
22,4502,武田薬品工業,医薬品,0.8978%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
23,9432,NTT,情報・通信業,0.8016%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
24,9433,KDDI,情報・通信業,0.6948%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
25,9434,ソフトバンク,情報・通信業,0.6838%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
26,2914,日本たばこ産業,食料品,0.6698%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
27,6367,ダイキン工業,機械,0.5515%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
28,4568,第一三共,医薬品,0.4550%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
29,7267,本田技研工業,輸送用機器,0.4508%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
30,3382,セブン＆アイ・ホールディングス,小売業,0.4174%,https://www.jpx.co.jp/automation/markets/indices/topix/files/topixweight_j.csv
